端口,板块,功能点,详细功能描述,功能逻辑,备注
学生端,考试中心(学生端),考试成绩查询,查看得分、排名（若开放）、解析、错题,成绩计算（客观自动+主观人工）→ 排名按总分降序 → 开放由教师配置,P0
学生端,考试中心(学生端),错题回顾,回看错题与正确解析,错题自动汇入个人错题本 → 支持二次练习,P0
学生端,考试中心(学生端),补考申请,未达及格线申请补考,校验补考次数配置 → 申请后生成补考场次 → 由教务审批,P1
学生端,我的证书,证书列表,一级菜单，查看本人所有已获证书,按颁发时间倒序 → 状态：有效/待签发/已作废,P0
学生端,我的证书,证书详情,查看证书完整信息：编号、课程、成绩、签发日期、签发主体,调用证书中心 → 实时拉取 → 含校验码与防伪码,P0
学生端,我的证书,电子版下载,下载 PDF 电子证书,服务端实时渲染（占位变量替换，姓名按用户语言；机构名走乌兹别克注册主体）→ 加水印 → 限制下载次数日 5 次,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,我的证书,分享证书到 Telegram,一键分享证书到 Telegram,服务端生成 4 语言图卡（PNG，含校验二维码）→ 调用 Telegram t.me/share/url → 公开校验 URL 可在任意浏览器打开,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,我的证书,校验码查询,通过校验码 + 编号在公开页核验,无登录即可访问 → 显示证书摘要（隐去敏感信息）→ 防爆破限频,P0
学生端,我的证书,电子签章查看,查看证书是否含电子签章及签章机构,签章信息从证书中心拉取 → 展示签章主体与时间戳,P1；电子签章三方待选型（境外 DocuSign 或乌兹别克本地 e-IMZO 待法务确认）
学生端,我的证书,申请补发,证书丢失/字段勘误申请补发,提交申请 → 教务初审 → 总部复审 → 通过后作废原证书并生成新编号,P1
学生端,我的证书,争议申诉,对证书结果有异议发起申诉,提交申诉单 → 进入证书中心审核队列 → 双人复核 → 结果回复 Telegram,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,本地知识库 AI 问答,学习知识提问,对已购课程/公开知识点提问（4 语言提问/回答）,调用『向量库 + RAG』→ 召回相关切片 → LLM 生成 → 引用来源必显；按用户语言偏好作答,P0；依赖 OpenAI GPT-4o / Anthropic Claude / Google Gemini；向量库 Pinecone/Weaviate/Qdrant/pgvector；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,本地知识库 AI 问答,多轮对话,保留长会话上下文,会话长度上限 20 轮 → 自动摘要旧轮 → 可手动开启新对话,P0
学生端,本地知识库 AI 问答,学习助手评价,对回答点赞/点踩/纠错反馈,反馈结构化入库 → 进入知识库回流队列 → 由教研复审,P1
学生端,本地知识库 AI 问答,会话历史,查看历史会话与回放,按时间倒序展示 → 支持关键词搜索 → 单条删除/全部清空,P1
学生端,本地知识库 AI 问答,答题模式,AI 引导式刷题问答,选择章节/知识点 → AI 出题 → 学员作答 → AI 评估并讲解（按用户语言）,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,本地知识库 AI 问答,敏感词与适龄过滤,禁答与适龄保护,命中 4 语言禁答词库 → 返回安全话术 → 触发日志告警,P0；合规
学生端,AI 客服,客服会话入口,针对订单、支付、退课、发票、课表异常等发起会话,入口在『我的-客服』+ 课程详情/订单详情快捷入口；对接 Intercom 或 Freshdesk,P0
学生端,AI 客服,机器应答,AI 机器人优先应答常见问题（4 语言）,命中 FAQ → 直接回复 → 未命中走多轮话术树 → 仍不解决走转人工；LLM 走 OpenAI/Claude/Gemini,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,AI 客服,转人工,关键词或用户主动触发转人工,关键词：投诉/退款/紧急；排队 → 分店客服认领 → 工作日响应 SLA ≤ 10 分钟（Asia/Tashkent 工作时段）,P0；全局时区 Asia/Tashkent (UTC+5)
学生端,AI 客服,会话历史与满意度,查看历史客服记录并打分,会话结束推送评分 → 1-5 星 + 标签 → 写入质检池,P0
学生端,AI 客服,工单转化,复杂问题转工单跟进,客服一键转工单 → 派工教务/财务 → 处理状态回写并 Telegram 通知学员,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,营销参与,优惠券领取,在活动页/课程页领券（金额 UZS）,校验领取资格（新人/老学员/分销专属）→ 写入个人券包 → 一人一券限频,P0
学生端,营销参与,优惠券使用,下单时自动匹配可用券（UZS 计算）,结算时按金额/适用范围/有效期匹配 → 推荐最优券 → 支持手动切换,P0
学生端,营销参与,拼团参与,发起或参与拼团,选择拼团 SKU → 通过 Payme/Click 预授权或直扣 → 满团成单 → 到期未满团自动退款,P0；依赖支付与退款
学生端,营销参与,拼团进度,查看拼团进度与剩余时间,实时拉取拼团状态 → Telegram 通知差几人/剩余时长,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,营销参与,转介绍绑定,通过推荐码/分享链接首单绑定推荐关系,首次访问写入 cookie/uid 关联 → 注册或首单时落库 → 永久不可覆盖,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
学生端,营销参与,分销邀请落地页,通过员工/教务分销短链进入活动页,解析短链参数（Branch.io / Firebase Dynamic Links / AppsFlyer OneLink）→ 记录点击/首访归因 → 30 天归因窗口,P0；与永久绑定规则联动
学生端,营销参与,分销专属价/券展示,落地页根据分销活动展示专属价或自动领券,校验分销活动状态 → 自动领券或显示专属价 → 与平台券互斥规则可配置,P0
学生端,营销参与,活动中心,聚合查看进行中/即将开始/已结束的活动,活动模板由总后台下发 → 学员端按状态过滤展示,P1
学生端,营销参与,分享课程到 Telegram,课程详情页『分享』按钮,生成带个人推荐码的 Telegram 短链 → 调用 t.me/share/url → 兜底走系统 Share Sheet 复制链接,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,分销推广(学员侧),分销资格申请,学员可申请成为分销员（受总部开关控制）,提交申请 → 教务初审 → 总部审批 → 通过后开通分销工作台,P1；与教师分销复用准入流程
学生端,分销推广(学员侧),我的推广物料,生成专属海报 / 二维码 / Telegram 短链,短链含 uid 与活动 ID → 生成时记录归因 → 海报含证书机构信息（4 语言版本）,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,分销推广(学员侧),我的分销业绩,查看推广带来的线索、成单（UZS）、佣金（UZS）,数据按 T+1 同步 → 状态：待确认/已确认/已支付 → 退款冲减自动回写,P1
学生端,分销推广(学员侧),分销邀请分享到 Telegram,一键把分销邀请发送到 Telegram 群/好友,调用 Telegram share URL → 自带 deep link → 携带 uid 归因参数,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,作业与练习,作业接收,接收教师布置的作业,课表与作业绑定 → 推送 Telegram 提醒 → 截止时间倒计时（Asia/Tashkent）,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；全局时区 Asia/Tashkent (UTC+5)
学生端,作业与练习,作业提交,文本/图片/视频/语音多形态提交,"上传大小限制 100MB → 自动 OCR/转写（Whisper, ru/uz/en/zh）写入答案字段",P0；依赖 Whisper
学生端,作业与练习,AI 预批改,客观题自动判定+主观题 AI 初评,AI 给出参考分与建议 → 教师再终评 → 学员可看 AI 评语（按用户语言）,P1；OpenAI/Claude/Gemini；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,作业与练习,错题本,未答对题目自动归集错题本,支持按知识点/课程筛选 → 错题二次练习 → 掌握后自动归档,P0
学生端,作业与练习,作业回看,查看历史作业、教师批语,按时间倒序 → 含批语、得分、改进建议,P0
学生端,学习趋势与预警,个人进退步趋势,周/月对比的进退步曲线,维度：成绩/出勤/作业完成率/观看时长/知识点掌握度；对比周期：本周 vs 上周 / 本月 vs 上月；阈值：下降 ≥10% 触发预警；可视化：折线 + 雷达图,P0；预警 Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,学习趋势与预警,知识点雷达,各知识点掌握度雷达图,由作业/考试/AI 问答数据聚合 → 0-100 评分 → 提示薄弱点,P0
学生端,学习趋势与预警,学习建议,结合趋势给出 AI 学习建议,退步触发：推荐补救课程/练习；进步触发：推荐进阶内容（4 语言生成）,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,学习趋势与预警,预警接收,学员端接收个人预警,下降预警自动推送 → 含改进建议链接,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,订单与支付,下单流程,选课-填资料-选券-选支付方式（Payme/Click/Uzum/Humo/Uzcard/Apelsin）,校验库存/课表冲突/优惠券适用 → 生成订单（金额 UZS）→ 30 分钟未支付自动取消,P0；对接 Payme / Click（P0）+ Uzum / Humo / Uzcard（P1）+ Apelsin（P2），结算币种 UZS
学生端,订单与支付,拼团下单,发起或参与拼团单,拼团参数附在订单上 → 通过支付通道预冻结 → 成团扣款，未成团原路退款,P0
学生端,订单与支付,Payme 支付,Payme（payme.uz）支付下单,调用 Payme Merchant API（CheckPerformTransaction / CreateTransaction / PerformTransaction / CheckTransaction / CancelTransaction）→ 异步回调更新订单状态 → 回调签名校验,P0；Payme 商户接入
学生端,订单与支付,Click 支付,Click（click.uz）支付下单,调用 Click Merchant API（Prepare / Complete）→ 异步回调更新订单状态 → 签名校验 → 处理 click_trans_id 幂等,P0；Click 商户接入
学生端,订单与支付,Uzum / Humo / Uzcard / Apelsin 支付,扩展支付通道路由,支付路由层按通道开关与金额限制选通道 → 失败自动建议另一通道,P1；多通道路由
学生端,订单与支付,订单详情,查看订单与支付状态,订单状态机：待支付/已支付/已发货/已退款/已取消/部分退款；时间显示 Asia/Tashkent,P0；全局时区 Asia/Tashkent (UTC+5)
学生端,订单与支付,发票申请,下单后申请乌兹别克 QQS 增值税电子发票,提交开票主体（个人/企业）→ 校验税号（如适用）→ 后台生成符合乌兹别克税务格式的 PDF 收据 → Email 发送,P1；按乌兹别克 QQS 12% 增值税口径生成（具体税率以法务确认为准）
学生端,订单与支付,退款申请,课程未消耗或符合条件申请退款,校验退款政策 → 教务审批 → 财务复核 → 通过 Payme/Click 原路退回 → 分销佣金同步冲减,P0
学生端,订单与支付,App Store IAP 并行策略,iOS 端按 Apple 政策评估数字内容是否走 IAP,若 Apple 判定属数字内容需走 IAP（30%/15% 抽成）→ iOS 走 IAP，Android/Web 走 Payme/Click → 价格与对账分别处理,P0；合规风险，需求方与法务确认
学生端,个人中心(学生端),个人资料,维护头像/昵称/Email/Telegram chat_id/语言偏好,修改 Email 需新旧邮箱双向校验；语言切换实时生效,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,个人中心(学生端),绑定关系查看,查看归属分店/教师/分销员,只读展示绑定生效时间与绑定来源；如需变更需走总部申诉,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
学生端,个人中心(学生端),地址管理,管理收货地址（教材寄送，乌兹别克州/市/区三级）,默认地址 + 多地址；最多 10 条；省级用乌兹别克 12 个州 + 1 个自治共和国 + 塔什干市,P1
学生端,个人中心(学生端),消息中心,查看 Telegram/站内信/Email 历史,按消息类型筛选（系统/营销/学习/订单）,P0
学生端,个人中心(学生端),意见反馈,提交产品建议或 Bug 反馈,图片+文字提交 → 进入产品工单池 → 处理结果回复 Telegram,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,个人中心(学生端),数据导出与删除（GDPR/ZRU-547）,学员行使数据可携权与被遗忘权,提交申请 → 7 个工作日内响应 → 留必要交易凭证 → 导出 JSON+PDF 一键下载,P0；合规
家长端,账户与绑定,家长注册登录,支持 Email + 密码（与学生端同一账户体系）,走 SendGrid/SES 邮箱验证；不开放 SMS/社交登录,P0
家长端,账户与绑定,学员绑定,绑定一个或多个学员,学员发起 → 家长 Email 收到授权链接（若家长已绑 TG，并行 Telegram 通知）→ 同意后写入授权范围,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
家长端,账户与绑定,授权范围管理,管理可查看的学情/证书/消费权限,学员可随时调整授权范围 → 家长端实时生效,P0
家长端,账户与绑定,永久绑定关系查看,查看家长账号归属分店/教师/分销员（继承自学员）,只读 → 仅展示当前生效绑定 → 解绑走总部申诉,P1；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
家长端,账户与绑定,COPPA Verifiable Consent 记录,K12 未成年学员家长 Consent 留痕,记录家长 Email、IP、时间戳、用途清单、签名链接 → 不可删除，仅可查看,P0；合规（COPPA）
家长端,学情透明,学员学习报告查看,查看周/月度报告（4 语言）,实时拉取学员端学习报告 → 受授权范围限制 → 按家长语言偏好渲染,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
家长端,学情透明,课表与出勤,查看绑定学员的课表与出勤记录,支持订阅 .ics 到本地日历，时间统一 Asia/Tashkent,P0；全局时区 Asia/Tashkent (UTC+5)
家长端,学情透明,进度查看,查看进度与章节完成情况,进度计算口径与学员端一致,P0
家长端,学情透明,作业完成情况,查看绑定学员的作业提交与得分,未提交超时自动 Telegram 提醒家长,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
家长端,学员证书查看,证书列表(只读),查看绑定学员已获证书,调用证书中心接口 → 仅展示有效证书,P0
家长端,学员证书查看,电子版下载,下载学员证书 PDF,限制每日下载次数 → 水印含家长 Email 哈希,P0
家长端,学员证书查看,分享到 Telegram,把学员证书分享到 Telegram,复用学员端分享逻辑（4 语言图卡 + 校验二维码）,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
家长端,进退步趋势查看,学员进退步曲线,查看学员近 4 周/3 月趋势,维度与口径与总后台统一 → 退步标签醒目展示,P0
家长端,进退步趋势查看,家长端预警接收,进退步触发预警时家长可接收,退步 ≥10% 自动推送 → 含改进建议与教师联系入口,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
家长端,消息触达,Telegram 触达开关,家长可开关续费/上课/报告类推送,按通道+消息类型矩阵配置 → Email/APNs/FCM 仅在 Telegram 失败时兜底,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
家长端,消息触达,Email 兜底接收,对 Telegram 推送失败的消息接收 Email,失败重试 3 次 → 仍失败下发 Email（SendGrid/SES）→ 写入失败日志,P0
家长端,续费与支付,家长代续费,家长为绑定学员代付续费订单（UZS）,选课 → 选学员 → 支付（Payme/Click/Uzum）→ 课程归属学员账户,P0；对接 Payme / Click（P0）+ Uzum / Humo / Uzcard（P1）+ Apelsin（P2），结算币种 UZS
家长端,续费与支付,支付凭证,查看历史支付记录与发票,与学生端订单中心打通；发票按乌兹别克 QQS 12% 口径,P1；按乌兹别克 QQS 12% 增值税口径生成（具体税率以法务确认为准）
教师端,账户与入职,教师注册/入职申请,教师提交入职申请并由分店审批,提交资料（身份/学历/证书）→ 分店初审 → 总部复审 → 通过开通教师工作台,P0
教师端,账户与入职,分店绑定,教师与分店绑定,支持主分店+多个兼职分店 → 绑定关系永久保留,P0；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
教师端,账户与入职,课酬协议,电子签订课酬协议,电子签章三方待选型：境外 DocuSign / HelloSign 或乌兹别克本地 e-IMZO（待法务确认）→ 协议存档可追溯,P1；电子签章选型待确认
教师端,账户与入职,权限与角色,区分主讲/助教/教研角色,由分店店长或教务分配 → 权限对应不同工作台模块,P0
教师端,账户与入职,Telegram chat_id 绑定,教师绑定 Telegram 接收教务/排课/审批推送,复用学员侧 /verify 流程 → 绑定后所有教务推送走 TG,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
教师端,我的课程与课表,我的课程列表,查看负责的全部课程/班级,按状态分组：进行中/未开课/已结课,P0
教师端,我的课程与课表,我的课表,周/月视图课表（Asia/Tashkent）,支持订阅 .ics；上课前 30 分钟 Telegram 推送提醒,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；全局时区 Asia/Tashkent (UTC+5)
教师端,我的课程与课表,调课与请假,发起调课/请假申请,提交申请 → 教务审批 → 通过后自动通知学员/家长（4 语言模板）,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,我的课程与课表,补课安排,为请假学员安排补课,选择补课时间/班级/学员 → 写入排课系统 → 通知相关方,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
教师端,直播课堂,直播间开课,进入分配的直播间,上课前 15 分钟开放进入 → 教师权限可踢人/禁言,P0
教师端,直播课堂,白板与互动,白板/答题/投票/举手控制,互动数据实时回写课堂数据 → 课后回看,P0
教师端,直播课堂,出勤与点名,对学员进行点名与出勤标记,支持自动出勤（进入 5 分钟）+ 手动调整 → 写入出勤台账,P0
教师端,直播课堂,课堂回放,课后查看直播回放与学员观看明细,聚合学员观看数据 → 用于学情分析,P0
教师端,直播课堂,多语字幕生成,回放自动生成 ru/uz/en/zh 字幕,Whisper / AWS Transcribe 转写 → DeepL/Google Translate 翻译到其它 3 语 → 字幕 VTT 存 S3,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,作业批改,作业布置,对班级布置作业,选择题目/截止时间/形式 → 推送 Telegram 给学员/家长（按收件人语言偏好选模板）,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,作业批改,AI 预批改协同,查看 AI 预批改结果并修改,AI 给参考分 → 教师调整 → 最终成绩入库,P1；OpenAI/Claude/Gemini
教师端,作业批改,批量批改,针对客观题批量批改,导入答题卡 → 自动判定 → 异常人工干预,P0
教师端,作业批改,批语模板,常用批语模板复用（4 语言）,创建/编辑/删除模板 → 一键插入 → 模板按语言分组,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,学情管理,学员档案查看,查看负责班级的学员档案,含基础信息、绑定关系、学习历史、进退步趋势,P0
教师端,学情管理,个性化学习建议,为学员添加个性化学习建议,教师手动填写 → Telegram 推送家长（按家长语言渲染）,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
教师端,学情管理,进退步趋势查看,查看班级整体与个人趋势,支持按周期/维度切换 → 退步标签醒目,P0
教师端,学情管理,预警处理,处理学员进退步预警,认领预警 → 制定改进措施 → 跟进结果回写,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
