端口,板块,功能点,详细功能描述,功能逻辑,备注
学生端,在线学习,时间轴笔记,在视频任意时间点添加笔记,笔记与时间戳绑定 → 支持文本/截图 → 个人可见 → 可导出 PDF 文档,
学生端,在线学习,直播-小班互动,小班课支持举手、答题、白板互动,进入直播间 → 加入 实时音视频链路 → 举手排队由教师批准 → 白板支持多人协作,
学生端,在线学习,直播-大班讲授,大班课聊天、投票、问答,聊天敏感词过滤（4 语言词库） → 投票题由教师发送到 → 学员答题后实时同步更新显示统计,
学生端,在线学习,弱网适配,动态码率调整，最低 480p / 1Mbps,客户端检测带宽 → 自动降码率 → 不足 1Mbps 弹『切换音频模式』；针对乌国移动网络做兼容（4G 为主）,
学生端,在线学习,回放观看,直播结束后 24h 内生成回放,亚马逊云 云端视频转码 转码 → 对象存储 存档 → 亚马逊内容分发网络 CloudFront 分发 → 自动用 语音转写模型 Whisper 生成 俄/乌/英/中 多语字幕,
学生端,在线学习,画质切换,手动切换清晰度,支持 自动/多档清晰度（360p 至 1080p）；切换时无缝衔接,
学生端,在线学习,章节资料下载,下载课件、演示文稿、习题包,检查购买状态 → 限制每日下载次数 → 带水印（学员 邮箱 哈希）,
学生端,在线学习,多语字幕开关,录播 / 回放可切换 俄/乌/英/中 字幕,播放器读取课程字幕轨 → 用户选择语言 → 缺失语种回退 ru → 字幕文件 网页字幕文件 格式存 S3,
学生端,学习管理,已购课程列表,卡片式列表，按状态分组：进行中 / 未开始 / 即将到期,查询订单 → 关联课程 → 计算状态：开课时间 vs 当前时间（塔什干时间（乌兹别克）），到期 ≤30 天标即将到期,
学生端,学习管理,进度追踪,综合章节观看时长 + 作业完成率 + 出勤率计算,公式：进度 = 0.5*观看 + 0.3*作业 + 0.2*出勤；每天 01:00 塔什干时间（乌兹别克） 重算,
学生端,学习管理,学习日历,日历视图查看本周/本月课表,汇总排课 + 已购课程 → 时间统一 塔什干时间（乌兹别克） → 支持订阅到本地日历 .日历订阅文件,
学生端,学习管理,学习报告,周/月度数据摘要，含知识点掌握度雷达图,每周日 22:00 (塔什干) 生成 → Telegram 推送摘要 + 站内可查全文；报告正文按用户语言偏好生成页面或文件,
学生端,学习管理,续费提醒,到期前 30 / 7 / 1 天多通道触达,定时任务定期查找到期课 → 触发 30/7/1 天 3 次推送 → 通道：Telegram → 邮箱 → 苹果推送与安卓推送 兜底,
学生端,学习管理,收藏与笔记中心,集中查看个人笔记与收藏,支持按课程/章节筛选 → 一键导出 PDF 文档,
学生端,学习管理,学习时长统计,查看个人累计学习时长与连续天数,每日 00:30 (塔什干) 结算昨日时长 → 连续打卡发放学分/积分,
学生端,学习管理,学习目标设定,设置周/月学习目标,设定目标 → 未达成 Telegram 提醒 → 达成发放奖励积分,
学生端,学习管理,分享学习报告到 Telegram,学员可把本周报告生成图卡分享到 Telegram,服务端生成页面或文件 4 语言图卡（图片） → 调用 Telegram share 链接地址 → 默认带推荐码归因,
学生端,考试中心,考试场次列表,查看可参加的正式考试,拉取已购课程绑定的考场 → 按时间倒序展示（塔什干时间（乌兹别克））,
学生端,考试中心,考试须知与范围,查看考试须知、范围、规则,考前 30 分钟开放 → 阅读须知方可进入答题；4 语言版本,
学生端,考试中心,在线答题与倒计时,客观题/主观题在线作答，含倒计时,进入答题 → 后端发送到题目（防作弊：分批/打乱） → 客户端展示倒计时 → 切屏次数超阈值警告,
学生端,考试中心,切屏与异常提醒,切屏/失焦记录与提醒,Web 端监听 visibilitychange；超 3 次标记异常并 Telegram 通知教师,
学生端,考试中心,到时自动交卷,倒计时归零自动提交答卷,倒计时归零 → 强制锁定输入 → 提交并保存答题记录备查,
学生端,考试中心,草稿暂存,答题过程中自动暂存,每 10 秒自动保存草稿 → 网络异常恢复后断点续答,
学生端,考试中心,考试成绩查询,查看得分、排名（若开放）、解析、错题,成绩计算（客观自动+主观人工） → 排名按总分降序 → 开放由教师配置,
学生端,考试中心,错题回顾,回看错题与正确解析,错题自动汇入个人错题本 → 支持二次练习,
学生端,考试中心,补考申请,未达及格线申请补考,检查补考次数配置 → 申请后生成补考场次 → 由教务审批,
学生端,我的证书,证书列表,一级菜单，查看本人所有已获证书,按颁发时间倒序 → 状态：有效/待签发/已作废,
学生端,我的证书,证书详情,查看证书完整信息：编号、课程、成绩、签发日期、签发主体,调用证书中心 → 实时拉取 → 含检查码与防伪码,
学生端,我的证书,电子版下载,下载 PDF 文档 电子证书,服务端实时生成页面或文件（占位变量替换，姓名按用户语言；机构名走乌兹别克注册主体） → 加水印 → 限制下载次数日 5 次,
学生端,我的证书,分享证书到 Telegram,一键分享证书到 Telegram,服务端生成 4 语言图卡（图片，含检查二维码） → 调用 Telegram t.me/share/链接地址 → 公开检查 链接地址 可在任意浏览器打开,
学生端,我的证书,校验码查询,通过检查码 + 编号在公开页核验,无登录即可访问 → 显示证书摘要（隐去敏感信息） → 防爆破限制频率,
学生端,我的证书,电子签章查看,查看证书是否含电子签章及签章机构,签章信息从证书中心拉取 → 展示签章主体与时间戳,
学生端,我的证书,申请补发,证书丢失/字段勘误申请补发,提交申请 → 教务初审 → 总部复审 → 通过后作废原证书并生成新编号,
学生端,我的证书,争议申诉,对证书结果有异议发起申诉,提交申诉单 → 进入证书中心审核队列 → 双人复核 → 结果回复 Telegram,
学生端,本地知识库 AI 问答,学习知识提问,对已购课程/公开知识点提问（4 语言提问/回答）,调用『向量库 + 先检索知识片段再让大模型作答』 → 搜出相关条目相关切片 → 大语言模型 生成 → 引用来源必显；按用户语言偏好作答,
学生端,本地知识库 AI 问答,多轮对话,保留长登录会话上下文,登录会话长度上限 20 轮 → 自动摘要旧轮 → 可手动开启新对话,
学生端,本地知识库 AI 问答,学习助手评价,对回答点赞/点踩/纠错反馈,反馈结构化后写入系统 → 进入知识库回流队列 → 由教研复审,
学生端,本地知识库 AI 问答,会话历史,查看历史登录会话与回放,按时间倒序展示 → 支持关键词搜索 → 单条删除/全部清空,
学生端,本地知识库 AI 问答,答题模式,AI 引导式刷题问答,选择章节/知识点 → AI 出题 → 学员作答 → AI 评估并讲解（按用户语言）,
学生端,本地知识库 AI 问答,敏感词与适龄过滤,禁答与适龄保护,匹配到 4 语言禁答词库 → 返回安全话术 → 触发日志告警,
学生端,AI 客服,客服会话入口,针对订单、支付、退课、发票、课表异常等发起登录会话,入口在『我的-客服』+ 课程详情/订单详情快捷入口；对接 在线客服系统（Intercom 或 Freshdesk 等）,
学生端,AI 客服,机器应答,AI 机器人优先应答常见问题（4 语言）,匹配到 常见问题 → 直接回复 → 未匹配到走多轮话术树 → 仍不解决走转人工；大语言模型 走 常用大模型云服务（按合规与选型确定）,
学生端,AI 客服,转人工,关键词或用户主动触发转人工,关键词：投诉/退款/紧急；排队 → 分店客服认领 → 工作日响应 服务承诺时限 ≤ 10 分钟（塔什干时间（乌兹别克） 工作时段）,
学生端,AI 客服,会话历史与满意度,查看历史客服记录并打分,登录会话结束推送评分 → 1-5 星 + 标签 → 保存质检池,
学生端,AI 客服,工单转化,复杂问题转工单跟进,客服一键转工单 → 派工教务/财务 → 处理状态同步更新显示并 Telegram 通知学员,
学生端,营销参与,优惠券领取,在活动页/课程页领券（金额 乌兹别克苏姆）,检查领取资格（新人/老学员/分销专属） → 保存个人券包 → 一人一券限制频率,
学生端,营销参与,优惠券使用,下单时自动匹配可用券（乌兹别克苏姆 计算）,结算时按金额/适用范围/有效期匹配 → 推荐最优券 → 支持手动切换,
学生端,营销参与,拼团参与,发起或参与拼团,选择拼团 商品款号 → 通过 Payme 或 Click 支付 预授权或直扣 → 满团成单 → 到期未满团自动退款,
学生端,营销参与,拼团进度,查看拼团进度与剩余时间,实时拉取拼团状态 → Telegram 通知差几人/剩余时长,
学生端,营销参与,转介绍绑定,通过推荐码/分享链接首单绑定推荐关系,首次访问保存 cookie/用户编号 关联 → 注册或首单时写入系统存档 → 永久不可覆盖,
学生端,营销参与,分销邀请落地页,通过员工/教务分销短链进入活动页,解析短链参数（第三方短链与安装归因工具（第三方深度链接与归因服务 Branch / Firebase 动态链接 / AppsFlyer OneLink，按选型）） → 记录点击/首访归因 → 30 天归因窗口,
学生端,营销参与,分销专属价/券展示,落地页根据分销活动展示专属价或自动领券,检查分销活动状态 → 自动领券或显示专属价 → 与平台券互斥规则可配置,
学生端,营销参与,活动中心,汇总查看进行中/即将开始/已结束的活动,活动模板由总后台发送到 → 学员端按状态过滤展示,
学生端,营销参与,分享课程到 Telegram,课程详情页『分享』按钮,生成带个人推荐码的 Telegram 短链 → 调用 t.me/share/链接地址 → 兜底走系统 Share Sheet 复制链接,
学生端,分销推广,分销资格申请,学员可申请成为分销员（受总部开关控制）,提交申请 → 教务初审 → 总部审批 → 通过后开通分销工作台,
学生端,分销推广,我的推广物料,生成专属海报 / 二维码 / Telegram 短链,短链含 用户编号 与活动 ID → 生成时记录归因 → 海报含证书机构信息（4 语言版本）,
学生端,分销推广,我的分销业绩,查看推广带来的线索、成单（乌兹别克苏姆）、佣金（乌兹别克苏姆）,数据按 成交后次日 同步 → 状态：待确认/已确认/已支付 → 退款扣回自动同步更新显示,
学生端,分销推广,分销邀请分享到 Telegram,一键把分销邀请发送到 Telegram 群/好友,调用 Telegram share 链接地址 → 自带 deep link → 携带 用户编号 归因参数,
学生端,作业与练习,作业接收,接收教师布置的作业,课表与作业绑定 → 推送 Telegram 提醒 → 截止时间倒计时（塔什干时间（乌兹别克））,
学生端,作业与练习,作业提交,文本/图片/视频/语音多形态提交,"上传大小限制 100MB → 自动 图片文字识别/转写（语音转写模型 Whisper, 俄/乌/英/中）保存答案字段",
学生端,作业与练习,AI 预批改,客观题自动判定+主观题 AI 初评,AI 给出参考分与建议 → 教师再终评 → 学员可看 AI 评语（按用户语言）,
学生端,作业与练习,错题本,未答对题目自动归集错题本,支持按知识点/课程筛选 → 错题二次练习 → 掌握后自动归档,
学生端,作业与练习,作业回看,查看历史作业、教师批语,按时间倒序 → 含批语、得分、改进建议,
学生端,学习趋势与预警,个人进退步趋势,周/月对比的进退步曲线,维度：成绩/出勤/作业完成率/观看时长/知识点掌握度；对比周期：本周 vs 上周 / 本月 vs 上月；阈值：下降 ≥10% 触发预警；可视化：折线 + 雷达图,
学生端,学习趋势与预警,知识点雷达,各知识点掌握度雷达图,由作业/考试/AI 问答数据汇总 → 0-100 评分 → 提示薄弱点,
学生端,学习趋势与预警,学习建议,结合趋势给出 AI 学习建议,退步触发：推荐补救课程/练习；进步触发：推荐进阶内容（4 语言生成）,
学生端,学习趋势与预警,预警接收,学员端接收个人预警,下降预警自动推送 → 含改进建议链接,
学生端,订单与支付,下单流程,选课-填资料-选券-选支付方式（Payme / Click 等本地支付（含 Uzum / Humo / Uzcard / Apelsin，按阶段接入））,检查库存/课表冲突/优惠券适用 → 生成订单（金额 乌兹别克苏姆） → 30 分钟未支付自动取消,
学生端,订单与支付,拼团下单,发起或参与拼团单,拼团参数附在订单上 → 通过支付通道预冻结 → 成团扣款，未成团原路退款,
学生端,订单与支付,Payme 支付,Payme（payme.uz）支付下单,调用 Payme Merchant 标准程序接口（CheckPerformTransaction / CreateTransaction / PerformTransaction / CheckTransaction / CancelTransaction） → 异步回调更新订单状态 → 回调签名检查,
学生端,订单与支付,Click 支付,Click（click.uz）支付下单,调用 Click Merchant 标准程序接口（Prepare / Complete） → 异步回调更新订单状态 → 签名检查 → 处理 click_trans_id 幂等,
学生端,订单与支付,Uzum / Humo / Uzcard / Apelsin 支付,扩展支付通道路由,支付路由层按通道开关与金额限制选通道 → 失败自动建议另一通道,
学生端,订单与支付,订单详情,查看订单与支付状态,订单状态机：待支付/已支付/已发货/已退款/已取消/部分退款；时间显示 塔什干时间（乌兹别克）,
学生端,订单与支付,发票申请,下单后申请乌兹别克 乌兹别克增值税（增值税（QQS））电子发票,提交开票主体（个人/企业） → 检查税号（如适用） → 后台生成符合乌兹别克税务格式的 PDF 文档 收据 → 邮箱 发送,
学生端,订单与支付,退款申请,课程未消耗或符合条件申请退款,检查退款政策 → 教务审批 → 财务复核 → 通过 Payme 或 Click 支付 原路退回 → 分销佣金同步扣回,
学生端,订单与支付,苹果应用商店 应用内购买 并行策略,iOS 端按 Apple 政策评估数字内容是否走 应用内购买,若 Apple 判定属数字内容需走 应用内购买（30%/15% 抽成） → iOS 走 应用内购买，Android/Web 走 Payme 或 Click 支付 → 价格与对账分别处理,
学生端,个人中心,个人资料,维护头像/昵称/邮箱/Telegram 对话编号/语言偏好,修改 邮箱 需新旧邮箱双向检查；语言切换实时生效,
学生端,个人中心,绑定关系查看,查看归属分店/教师/分销员,只读展示绑定生效时间与绑定来源；如需变更需走总部申诉,
学生端,个人中心,地址管理,管理收货地址（教材寄送，乌兹别克州/市/区三级）,默认地址 + 多地址；最多 10 条；省级用乌兹别克 12 个州 + 1 个自治共和国 + 塔什干市,
学生端,个人中心,消息中心,查看 Telegram/站内信/邮箱 历史,按消息类型筛选（系统/营销/学习/订单）,
学生端,个人中心,意见反馈,提交产品建议或 Bug 反馈,图片+文字提交 → 进入产品工单池 → 处理结果回复 Telegram,
学生端,个人中心,数据导出与删除（欧盟个人信息保护通用规则/乌兹别克个人信息/数据权利相关法律）,学员行使数据可携权与被遗忘权,提交申请 → 7 个工作日内响应 → 留必要交易凭证 → 导出 JSON 数据包（常用交换格式）+PDF 文档 一键下载,
家长端,账户与绑定,家长注册登录,支持 邮箱 + 密码（与学生端同一账户体系）,走 SendGrid 或云服务商邮箱接口 邮箱验证；不开放 短信/社交登录,
家长端,账户与绑定,学员绑定,绑定一个或多个学员,学员发起 → 家长 邮箱 收到授权链接（若家长已绑 Telegram，并行 Telegram 通知） → 同意后保存授权范围,
家长端,账户与绑定,授权范围管理,管理可查看的学情/证书/消费权限,学员可随时调整授权范围 → 家长端实时生效,
家长端,账户与绑定,永久绑定关系查看,查看家长账号归属分店/教师/分销员（继承自学员）,只读 → 仅展示当前生效绑定 → 解绑走总部申诉,
家长端,账户与绑定,美国儿童上网隐私相关规则 可核验 Consent 记录,中小学（小学至高中） 未成年学员家长 Consent 记录备查,记录家长 邮箱、IP、时间戳、用途清单、签名链接 → 不可删除，仅可查看,
家长端,学情透明,学员学习报告查看,查看周/月度报告（4 语言）,实时拉取学员端学习报告 → 受授权范围限制 → 按家长语言偏好生成页面或文件,
家长端,学情透明,课表与出勤,查看绑定学员的课表与出勤记录,支持订阅 .日历订阅文件 到本地日历，时间统一 塔什干时间（乌兹别克）,
家长端,学情透明,进度查看,查看进度与章节完成情况,进度计算口径与学员端一致,
家长端,学情透明,作业完成情况,查看绑定学员的作业提交与得分,未提交超时自动 Telegram 提醒家长,
家长端,学员证书查看,证书列表(只读),查看绑定学员已获证书,调用证书中心接口 → 仅展示有效证书,
家长端,学员证书查看,电子版下载,下载学员证书 PDF 文档,限制每日下载次数 → 水印含家长 邮箱 哈希,
家长端,学员证书查看,分享到 Telegram,把学员证书分享到 Telegram,复用学员端分享逻辑（4 语言图卡 + 检查二维码）,
家长端,进退步趋势查看,学员进退步曲线,查看学员近 4 周/3 月趋势,维度与口径与总后台统一 → 退步标签醒目展示,
家长端,进退步趋势查看,家长端预警接收,进退步触发预警时家长可接收,退步 ≥10% 自动推送 → 含改进建议与教师联系入口,
家长端,消息触达,Telegram 触达开关,家长可开关续费/上课/报告类推送,按通道+消息类型矩阵配置 → 邮箱/苹果推送与安卓推送 仅在 Telegram 失败时兜底,
家长端,消息触达,邮箱 兜底接收,对 Telegram 推送失败的消息接收 邮箱,失败重试 3 次 → 仍失败发送到 邮箱（SendGrid 或云服务商邮箱接口） → 保存失败日志,
家长端,续费与支付,家长代续费,家长为绑定学员代付续费订单（乌兹别克苏姆）,选课 → 选学员 → 支付（Payme 或 Click 支付/Uzum） → 课程归属学员账户,
家长端,续费与支付,支付凭证,查看历史支付记录与发票,与学生端订单中心打通；发票按乌兹别克 乌兹别克增值税约 12%（增值税（QQS），税率以法务为准） 口径,
教师端,账户与入职,教师注册/入职申请,教师提交入职申请并由分店审批,提交资料（身份/学历/证书） → 分店初审 → 总部复审 → 通过开通教师工作台,
教师端,账户与入职,分店绑定,教师与分店绑定,支持主分店+多个兼职分店 → 绑定关系永久保留,
教师端,账户与入职,课酬协议,电子签订课酬协议,电子签章三方待选型：境外 DocuSign 电子签 / HelloSign 或乌兹别克本地 乌兹别克电子签章方式 e-IMZO（待法务确认） → 协议存档可追溯,
教师端,账户与入职,权限与角色,区分主讲/助教/教研角色,由分店店长或教务分配 → 权限对应不同工作台模块,
教师端,账户与入职,绑定 Telegram（用于识别会话）,教师绑定 Telegram 接收教务/排课/审批推送,复用学员侧 Telegram 机器人验证流程 → 绑定后所有教务推送走 Telegram,
教师端,我的课程与课表,我的课程列表,查看负责的全部课程/班级,按状态分组：进行中/未开课/已结课,
教师端,我的课程与课表,我的课表,周/月视图课表（塔什干时间（乌兹别克））,支持订阅 .日历订阅文件；上课前 30 分钟 Telegram 推送提醒,
教师端,我的课程与课表,调课与请假,发起调课/请假申请,提交申请 → 教务审批 → 通过后自动通知学员/家长（4 语言模板）,
教师端,我的课程与课表,补课安排,为请假学员安排补课,选择补课时间/班级/学员 → 保存排课系统 → 通知相关方,
教师端,直播课堂,直播间开课,进入分配的直播间,上课前 15 分钟开放进入 → 教师权限可踢人/禁言,
教师端,直播课堂,白板与互动,白板/答题/投票/举手控制,互动数据实时同步更新显示课堂数据 → 课后回看,
教师端,直播课堂,出勤与点名,对学员进行点名与出勤标记,支持自动出勤（进入 5 分钟）+ 手动调整 → 保存出勤台账,
教师端,直播课堂,课堂回放,课后查看直播回放与学员观看明细,汇总学员观看数据 → 用于学情分析,
教师端,直播课堂,多语字幕生成,回放自动生成 俄/乌/英/中 字幕,语音转写模型 Whisper / 亚马逊云 Transcribe 转写 → 机器翻译服务（DeepL / 谷歌等） Translate 翻译到其它 3 语 → 字幕 网页字幕文件 存 S3,
教师端,作业批改,作业布置,对班级布置作业,选择题目/截止时间/形式 → 推送 Telegram 给学员/家长（按收件人语言偏好选模板）,
教师端,作业批改,AI 预批改协同,查看 AI 预批改结果并修改,AI 给参考分 → 教师调整 → 最终成绩入库,
教师端,作业批改,批量批改,针对客观题批量批改,导入答题卡 → 自动判定 → 异常人工干预,
教师端,作业批改,批语模板,常用批语模板复用（4 语言）,创建/编辑/删除模板 → 一键插入 → 模板按语言分组,
教师端,学情管理,学员档案查看,查看负责班级的学员档案,含基础信息、绑定关系、学习历史、进退步趋势,
教师端,学情管理,个性化学习建议,为学员添加个性化学习建议,教师手动填写 → Telegram 推送家长（按家长语言生成页面或文件）,
教师端,学情管理,进退步趋势查看,查看班级整体与个人趋势,支持按周期/维度切换 → 退步标签醒目,
教师端,学情管理,预警处理,处理学员进退步预警,认领预警 → 制定改进措施 → 跟进结果同步更新显示,
教师端,证书与考务,达标学员发证提名,对满足结业/考试合格学员发起提名,检查发证规则 → 提交『待签发』队列 → 含学员名单/课程/成绩字段,
教师端,证书与考务,证书信息校对,核对证书姓名/课程/成绩等字段（4 语言姓名）,支持批量编辑 → 信息错误打回学员补全；俄语/乌语姓名转写规范化（如 Aliyev / Алиев）,
教师端,证书与考务,批量签发执行,教务审批后教师一键确认生成证书,检查编号唯一性 → 调用证书生成服务 → Telegram 通知学员,
教师端,证书与考务,待补发处理,处理学员补发申请,审核理由 → 上报总部 → 通过后生成新编号、原编号作废,
教师端,证书与考务,考试场次维护,维护教师负责的考试场次,新建/编辑/取消场次 → 与考试中心同步,
教师端,证书与考务,阅卷任务,认领并完成主观题阅卷,教研按规则分配阅卷 → 教师在线打分 + 批注 → 提交后保存成绩,
教师端,证书与考务,监考异常处理,处理监考异常日志,查看异常记录 → 强制收卷/给予警告 → 记录备查审计,
教师端,分销,分销准入与协议,教师申请分销资格并签订电子协议,提交申请 → 分店初审 → 总部审批 → 电子协议存档,
教师端,分销,分销物料获取,生成 Telegram 短链/二维码/海报,海报含教师专属推荐码 → 推广路径全程可追溯,
教师端,分销,我的分销业绩,查看带来的线索/成单/预估佣金/结算状态（乌兹别克苏姆）,按 成交后次日 同步 → 退款联动扣回,
教师端,分销,永久绑定关系,教师拉新学员与教师永久绑定,学员/家长归属教师 → 后续自购/续费仍归属此教师,
教师端,分销,Payme 或 Click 支付 提现,教师分销佣金通过 Payme / Click 商户提现,对接 Payme 或 Click 支付 Payout 标准程序接口 → 检查银行卡 / 卡组织（Humo 或银行卡） → 单笔与日累计限额 → 成交后第 N 个工作日 结算,
教师端,AI 教学助手(教师视角),AI 备课助手,基于知识库生成备课大纲与题库（4 语言）,选择课程章节 → 调用 先检索知识片段再让大模型作答 → 输出大纲/讲义/题目 → 教师二次加工,
教师端,AI 教学助手(教师视角),AI 学情诊断,AI 给班级薄弱点诊断,综合考试/作业/AI 问答数据 → 输出薄弱知识点 + 推荐补救资源,
教师端,教师业绩与奖惩,我的 关键指标,查看本人 关键指标：新生数/续费率/转化率等,总后台发送到 → 实时进度展示 → 距离达成差距标示,
教师端,教师业绩与奖惩,奖惩记录,查看奖惩历史与原因（金额 乌兹别克苏姆）,奖金/排名/曝光/扣减/降级/预警等记录可追溯,
教师端,教师业绩与奖惩,申诉入口,对奖惩结果申诉,提交申诉 → 店长初审 → 总部复核 → 结果同步更新显示,
分店教务端,学员档案管理,新增学员档案,录入新学员基础信息,检查 邮箱 唯一 → 默认绑定到当前分店和接待教师 → 永久绑定关系登记,
分店教务端,学员档案管理,学员档案查询,按 邮箱/姓名/课程检索学员,支持模糊匹配与组合筛选 → 跨分店查询需总部授权,
分店教务端,学员档案管理,学员转分店申请,学员申请转分店,提交申请 → 原分店店长会签 → 总部审核 → 通过后变更绑定（永久关系审计记录备查）,
分店教务端,学员档案管理,绑定关系变更审计,查看学员绑定变更历史,变更人/时间/原因/审批链 → 不可删除,
分店教务端,排课与课表管理,班级管理,创建/编辑/解散班级,班级要素：课程/教师/教室或直播间/学员名单/起止时间,
分店教务端,排课与课表管理,排课计划,生成班级排课计划（塔什干时间（乌兹别克））,支持按周/按月批量排课 → 冲突自动检测,
分店教务端,排课与课表管理,教室/直播间分配,为线下班分配教室、线上班分配直播间,教室预订冲突告警 → 直播间根据并发上限分配（Agora/100ms/LiveKit）,
分店教务端,排课与课表管理,调课审批,审批教师调课/请假申请,支持二级审批：教务初审 → 店长终审 → 通过后通知相关方,
分店教务端,排课与课表管理,课表分发,课表同步给学员/家长/教师,更新后自动 Telegram 推送变更摘要（按收件人语言）,
分店教务端,招生与试听,线索管理,录入/分配/跟进招生线索,线索来源标记（自然到访/广告/分销/转介绍） → 默认归属第一接待教师,
分店教务端,招生与试听,试听排课,为意向客户安排试听课,选择课程/教师/时间 → 通知客户 → 试听后转化同步更新显示,
分店教务端,招生与试听,试听转化漏斗,查看试听到成交的转化数据,漏斗：线索-意向-试听-报名-成交 → 每环节转化率展示,
分店教务端,订单与售后,订单查询,查询本分店订单与状态（金额 乌兹别克苏姆）,按状态/时间/课程筛选 → 异常订单红色高亮,
分店教务端,订单与售后,退款审批,审批学员退款申请,检查退款政策 → 教务初审 → 财务复核 → 触发 Payme 或 Click 支付 原路退款 + 分销佣金扣回,
分店教务端,订单与售后,补开发票,为历史订单补开发票（乌兹别克增值税约 12%（增值税（QQS），税率以法务为准））,按乌兹别克税务格式生成 PDF 文档 → 邮箱 推送下载链接,
分店教务端,订单与售后,订单异常处理,处理重复支付/卡单/超时未发货等异常,工单驱动 → 流水核对（Payme 或 Click 支付 对账） → 财务复核 → 记录备查审计,
